,dt,ax [mg],ay [mg],az [mg],gx [mdeg/s],gy [mdeg/s],gz [mdeg/s],mx [mgauss],my [mgauss],mz [mgauss],roll [deg],pitch [deg],yaw [deg]
0,0.004,-198.85999999999999,-59.048,1045.54,11392.5,4515.0,577.5,-117.46000000000001,215.74,-895.7200000000001,-3.3351648351648353,-10.697802197802197,-77.17032967032966
1,0.004,-198.85999999999999,-59.292,1045.7839999999999,11725.0,4480.0,577.5,-120.82000000000001,217.00000000000003,-889.2800000000001,-3.21978021978022,-10.774725274725276,-77.2032967032967
2,0.004,-198.85999999999999,-59.292,1046.272,11182.5,4322.5,612.5,-120.82000000000001,217.00000000000003,-889.2800000000001,-3.379120879120879,-10.615384615384615,-77.17582417582418
3,0.004,-198.85999999999999,-59.292,1046.516,11550.0,4585.0,560.0,-120.82000000000001,217.00000000000003,-889.2800000000001,-3.291208791208791,-10.725274725274724,-77.2032967032967
4,0.004,-198.85999999999999,-59.292,1046.76,11515.0,4410.0,630.0,-124.18,217.14000000000001,-890.2600000000001,-3.1648351648351647,-10.76923076923077,-77.23626373626374
5,0.004,-199.10399999999998,-59.292,1047.492,11357.5,4427.5,735.0,-124.18,217.14000000000001,-890.2600000000001,-3.39010989010989,-10.697802197802197,-77.1978021978022
6,0.004,-199.10399999999998,-59.536,1048.224,11200.0,4305.0,700.0,-124.18,217.14000000000001,-890.2600000000001,-3.2527472527472527,-10.736263736263735,-77.23076923076923
7,0.004,-199.10399999999998,-59.78,1048.956,11217.5,4480.0,770.0,-124.18,217.14000000000001,-890.2600000000001,-3.467032967032967,-10.637362637362637,-77.1923076923077
8,0.004,-199.10399999999998,-59.78,1049.932,11340.0,4357.5,962.5,-123.34000000000002,221.06000000000003,-891.8000000000001,-3.340659340659341,-10.692307692307692,-77.22527472527473
9,0.004,-198.85999999999999,-60.024,1050.664,10692.5,4497.5,437.5,-123.34000000000002,221.06000000000003,-891.8000000000001,-3.2032967032967035,-10.703296703296703,-77.25824175824175
10,0.004,-199.10399999999998,-60.024,1051.396,11620.0,4480.0,472.5,-123.34000000000002,221.06000000000003,-891.8000000000001,-3.434065934065934,-10.697802197802197,-77.21978021978022
11,0.004,-199.10399999999998,-60.024,1052.128,11550.0,4445.0,857.5,-121.38000000000001,213.08,-888.58,-3.291208791208791,-10.68131868131868,-77.25274725274726
12,0.004,-199.10399999999998,-60.024,1052.128,10990.0,4777.5,437.5,-121.38000000000001,213.08,-888.58,-3.181318681318681,-10.758241758241759,-77.28571428571429
13,0.004,-199.10399999999998,-59.78,1051.884,11165.0,4620.0,490.0,-121.38000000000001,213.08,-888.58,-3.368131868131868,-10.631868131868131,-77.25274725274726
14,0.004,-198.85999999999999,-59.78,1051.396,11322.5,4357.5,630.0,-118.02000000000001,215.18,-888.7200000000001,-3.2527472527472527,-10.703296703296703,-77.28021978021978
15,0.004,-198.61599999999999,-59.536,1050.664,10570.0,4392.5,717.5,-118.02000000000001,215.18,-888.7200000000001,-3.17032967032967,-10.554945054945055,-77.2967032967033
16,0.004,-198.61599999999999,-59.292,1049.444,11497.5,4357.5,385.0,-118.02000000000001,215.18,-888.7200000000001,-3.2857142857142856,-10.703296703296703,-77.29120879120879
17,0.004,-198.85999999999999,-59.292,1048.712,11655.0,4235.0,630.0,-121.24000000000001,213.22000000000003,-891.5200000000001,-3.159340659340659,-10.747252747252746,-77.32417582417582
18,0.004,-198.61599999999999,-59.048,1047.7359999999999,11165.0,4392.5,700.0,-121.24000000000001,213.22000000000003,-891.5200000000001,-3.3736263736263736,-10.659340659340659,-77.28571428571429
19,0.004,-198.61599999999999,-59.048,1047.004,11217.5,4550.0,630.0,-121.24000000000001,213.22000000000003,-891.5200000000001,-3.2527472527472527,-10.719780219780219,-77.31868131868131
20,0.004,-198.61599999999999,-59.048,1046.272,11200.0,4270.0,560.0,-120.26,213.36,-889.5600000000001,-3.142857142857143,-10.807692307692308,-77.34615384615384
21,0.004,-198.61599999999999,-59.048,1046.028,11007.5,4270.0,770.0,-120.26,213.36,-889.5600000000001,-3.32967032967033,-10.67032967032967,-77.31318681318682
22,0.004,-198.85999999999999,-59.048,1045.54,11235.0,4392.5,577.5,-120.26,213.36,-889.5600000000001,-3.230769230769231,-10.774725274725276,-77.34065934065934
