,dt,ax [mg],ay [mg],az [mg],gx [mdeg/s],gy [mdeg/s],gz [mdeg/s],mx [mgauss],my [mgauss],mz [mgauss],roll [deg],pitch [deg],yaw [deg]
0,0.004,49.288,-60.024,1054.812,11585.0,4812.5,210.0,-8.120000000000001,187.88000000000002,-924.0000000000001,-3.2967032967032965,2.6648351648351647,-76.54945054945055
1,0.004,49.288,-60.024,1054.812,11270.0,4532.5,175.0,-8.120000000000001,187.88000000000002,-924.0000000000001,-3.159340659340659,2.708791208791209,-76.53846153846153
2,0.004,49.288,-59.78,1054.812,11760.0,4445.0,280.0,-8.120000000000001,187.88000000000002,-924.0000000000001,-3.3736263736263736,2.6483516483516483,-76.54395604395604
3,0.004,49.288,-59.78,1055.056,11515.0,4777.5,350.0,-9.66,188.58,-926.2400000000001,-3.2362637362637363,2.697802197802198,-76.53846153846153
4,0.004,49.288,-59.78,1055.056,11182.5,4690.0,157.5,-9.66,188.58,-926.2400000000001,-3.3131868131868134,2.532967032967033,-76.53846153846153
5,0.004,49.044,-60.024,1055.5439999999999,11707.5,4795.0,157.5,-9.66,188.58,-926.2400000000001,-3.28021978021978,2.71978021978022,-76.53846153846153
6,0.004,49.288,-60.024,1056.032,11322.5,4567.5,192.5,-5.74,191.94000000000003,-931.2800000000001,-3.2362637362637363,2.576923076923077,-76.53296703296704
7,0.004,49.044,-60.268,1056.52,11602.5,4532.5,175.0,-5.74,191.94000000000003,-931.2800000000001,-3.340659340659341,2.769230769230769,-76.53296703296704
8,0.004,49.044,-60.512,1057.252,11550.0,4585.0,245.0,-5.74,191.94000000000003,-931.2800000000001,-3.2967032967032965,2.6263736263736264,-76.53296703296704
9,0.004,49.044,-60.512,1057.984,11550.0,4427.5,210.0,-5.74,191.94000000000003,-931.2800000000001,-3.208791208791209,2.769230769230769,-76.52747252747253
10,0.004,49.044,-60.756,1058.716,11620.0,4620.0,297.5,-6.580000000000001,191.8,-925.96,-3.3516483516483517,2.631868131868132,-76.52747252747253
11,0.004,49.288,-61.0,1059.4479999999999,10885.0,4655.0,70.0,-6.580000000000001,191.8,-925.96,-3.230769230769231,2.7252747252747254,-76.52197802197803
12,0.004,49.288,-61.0,1060.424,11322.5,4427.5,0.0,-6.580000000000001,191.8,-925.96,-3.3956043956043955,2.6043956043956045,-76.52747252747253
13,0.004,49.044,-61.0,1061.156,11567.5,4480.0,367.5,-6.16,188.72000000000003,-924.4200000000001,-3.2637362637362637,2.681318681318681,-76.52197802197803
14,0.004,49.044,-61.0,1061.156,11042.5,4462.5,157.5,-6.16,188.72000000000003,-924.4200000000001,-3.401098901098901,2.5384615384615383,-76.52197802197803
15,0.004,49.044,-60.756,1060.912,11830.0,4427.5,70.0,-6.16,188.72000000000003,-924.4200000000001,-3.3076923076923075,2.6758241758241756,-76.52197802197803
16,0.004,49.044,-60.756,1060.668,11882.5,4340.0,175.0,-3.9200000000000004,192.36,-925.82,-3.230769230769231,2.5549450549450547,-76.51648351648352
